Id;contrast;distance;correct;trials;proportion_correct
eva;0;1;10;20;0.5
eva;0.00357741;1;11;20;0.55
eva;0.007154173;1;12;20;0.6
eva;0.01073174;1;10;20;0.5
eva;0.014307366;1;12;20;0.6
eva;0.017884603;1;16;20;0.8
eva;0.0214586;1;17;20;0.85
eva;0.025035022;1;19;20;0.95
eva;0.06427019;1;20;20;1
eva;0;2;10;20;0.5
eva;0.00357741;2;6;20;0.3
eva;0.007154173;2;11;20;0.55
eva;0.01073174;2;10;20;0.5
eva;0.014307366;2;12;20;0.6
eva;0.017884603;2;7;20;0.35
eva;0.0214586;2;12;20;0.6
eva;0.025035022;2;10;20;0.5
eva;0.06427019;2;11;20;0.55
lorenz;0;1;7;20;0.35
lorenz;0.00357741;1;11;20;0.55
lorenz;0.007154173;1;10;20;0.5
lorenz;0.01073174;1;10;20;0.5
lorenz;0.014307366;1;15;20;0.75
lorenz;0.017884603;1;12;20;0.6
lorenz;0.0214586;1;17;20;0.85
lorenz;0.025035022;1;18;20;0.9
lorenz;0.06427019;1;17;20;0.85
lorenz;0;2;7;20;0.35
lorenz;0.00357741;2;8;20;0.4
lorenz;0.007154173;2;10;20;0.5
lorenz;0.01073174;2;8;20;0.4
lorenz;0.014307366;2;10;20;0.5
lorenz;0.017884603;2;4;20;0.2
lorenz;0.0214586;2;8;20;0.4
lorenz;0.025035022;2;8;20;0.4
lorenz;0.06427019;2;9;20;0.45
patrick;0;1;11;20;0.55
patrick;0.00357741;1;10;20;0.5
patrick;0.007154173;1;10;20;0.5
patrick;0.01073174;1;12;20;0.6
patrick;0.014307366;1;14;20;0.7
patrick;0.017884603;1;15;20;0.75
patrick;0.0214586;1;19;20;0.95
patrick;0.025035022;1;19;20;0.95
patrick;0.06427019;1;20;20;1
patrick;0;2;10;20;0.5
patrick;0.00357741;2;10;20;0.5
patrick;0.007154173;2;10;20;0.5
patrick;0.01073174;2;11;20;0.55
patrick;0.014307366;2;9;20;0.45
patrick;0.017884603;2;10;20;0.5
patrick;0.0214586;2;10;20;0.5
patrick;0.025035022;2;10;20;0.5
patrick;0.06427019;2;10;20;0.5
